training_mode,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,training_accuracy_at_checkpoint,accuracy_overfitting_gap,best_checkpoint_epoch,total_parameters,trainable_parameters
fine_tuned,0.5885753699711391,0.780952380952381,0.6884557259329848,0.7086940775051943,0.6975608834302688,0.7850020589480774,0.769469197985277,-0.011483182967103933,8,11178051,11178051
frozen,0.6683848842741951,0.746031746031746,0.6381937129458106,0.6630661688819176,0.6412276851883935,0.7547130114071662,0.6299883765982177,-0.11604336943352833,7,11178051,1539
