rank,model,family,checkpoint_path,history_path,validation_loss,validation_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,parameter_count,trainable_parameter_count,validation_samples,evaluation_time_seconds,best_epoch,history_best_validation_macro_f1,training_time_seconds
1,Transfer Learning,resnet18,/home/uteam6/computer-vision-equine-grimace-scale/results/transfer_learning/best_transfer_model.pth,/home/uteam6/computer-vision-equine-grimace-scale/results/transfer_learning/best_transfer_history.csv,0.6039736041947017,0.7523809523809524,0.6483276372118058,0.6614856750729112,0.6496500304321363,0.7567368538001527,11178051,11178051,315,0.2906085541471839,10,0.7037039720345583,
2,Augmented CNN,augmented_cnn,/home/uteam6/computer-vision-equine-grimace-scale/results/augmentation_experiments/best_augmented_model.pth,/home/uteam6/computer-vision-equine-grimace-scale/results/augmentation_experiments/best_augmented_history.csv,0.740402995593964,0.7047619047619048,0.592762686060118,0.6041549232491074,0.569502990467223,0.7119731070739638,389667,389667,315,0.2678888700902462,35,0.6362921324299485,
3,Baseline CNN,baseline_cnn,/home/uteam6/computer-vision-equine-grimace-scale/results/baseline/best_model.pth,/home/uteam6/computer-vision-equine-grimace-scale/results/baseline/training_history.csv,0.7411521289083692,0.7111111111111111,0.5718969998063229,0.5828460325629652,0.5675347852389595,0.7148296315501397,389667,389667,315,0.4014407154172659,29,0.5976688309753474,
