metric,baseline,best_augmentation,change
Validation Macro F1,0.5675347852389595,0.569502990467223,0.0019682052282634643
Validation Accuracy,0.7111111111111111,0.7047619047619048,-0.006349206349206327
Validation Loss,0.7448053946570744,0.7394843061765035,-0.00532108848057089
Accuracy Overfitting Gap,-0.06368763183951098,-0.0232431135956902,0.04044451824382078
