train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,learning_rate
0.9391161112164583,0.6051917861294072,0.7689068345796495,0.726984126984127,0.6143532095144999,0.595019974021518,0.5833070413822053,0.7105259379198533,0.0001
0.5927399738682004,0.7706315381635025,0.6445078246177189,0.7015873015873015,0.6155103668261563,0.642239813521337,0.5970153342185004,0.7161213337617408,0.0001
0.438923383719789,0.8384347152266564,0.9017384075456195,0.7682539682539683,0.6727654975265477,0.683388748648656,0.6617689500042441,0.762936770667863,0.0001
0.30208981296943166,0.9004261913986826,0.9404286307001871,0.765079365079365,0.676103027599077,0.6622884482894776,0.6678048599929672,0.7607404822273515,0.0001
0.22859162893557633,0.9182487407981402,0.9571899966588095,0.7936507936507936,0.7371030966536584,0.7452600162842057,0.735042735042735,0.7988603988603988,0.0001
0.1562931880424162,0.9422704378148005,1.1889209936299021,0.7936507936507936,0.721456779289162,0.7019298689911144,0.7108215251844888,0.7898961753548605,0.0001
0.09340125586763919,0.9690042619139868,1.1456996849605015,0.780952380952381,0.706690730278301,0.6762640001960639,0.6897104320381029,0.774925799896552,5e-05
0.049648246036518434,0.9845021309569935,1.0745366003778245,0.7746031746031746,0.7051946594380215,0.6629806631865304,0.6796081530130285,0.7647915904601466,5e-05
0.029262997788088076,0.9926385122045719,1.1110965193264069,0.7936507936507936,0.7134928659701156,0.6919306042311705,0.7001260302695709,0.7880011535513928,5e-05
0.032051402739155715,0.9876017047655947,1.2524661595859226,0.7936507936507936,0.7319114593841727,0.6828321446952429,0.7029398613905656,0.7847162339114049,5e-05
