train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,learning_rate
0.9387945290084774,0.6001549786904301,0.7686518364482455,0.7206349206349206,0.6070889894419306,0.5841689200412824,0.5620267982340383,0.6987379918312435,0.0001
0.593125460037932,0.771793878341728,0.6515726842577495,0.707936507936508,0.6132975551580203,0.6579554335601685,0.6090513538748833,0.723410982170646,0.0001
0.4405088850759989,0.839984502130957,0.8400442016503168,0.7682539682539683,0.6688811740220739,0.680956465619358,0.6643786915513692,0.7629894021767955,0.0001
0.2923796234182589,0.9008136381247579,0.8982997501653338,0.7777777777777778,0.7139299039453838,0.6688565927886566,0.6878454144850611,0.769877878191852,0.0001
0.22198000073386734,0.9217357613328168,1.1029992090804237,0.8063492063492064,0.7436890507800614,0.7278658704289173,0.7304076464524226,0.8069090945956617,0.0001
0.15054643178392593,0.9403332041844247,0.890761375238025,0.7873015873015873,0.7043310956354435,0.6928804254589124,0.6983202328782427,0.7855512946329137,0.0001
0.0906043669641168,0.9686168151879117,0.844547286487761,0.746031746031746,0.6469798916130026,0.6663992571352324,0.6556719240614423,0.7502927580477728,5e-05
0.050032755904150815,0.9829523440526927,0.8957946569200546,0.7619047619047619,0.6845740114813026,0.6530794304340367,0.6666340645521867,0.7542973800763377,5e-05
0.03406111628585017,0.9903138318481208,1.0146709869778345,0.746031746031746,0.6429429653383715,0.6521660988979568,0.643360433604336,0.7413963092011873,5e-05
0.032812718928426056,0.9895389383959705,1.0732834560057474,0.7682539682539683,0.6976851851851852,0.6554626974596095,0.6708373227716361,0.7563411929994059,5e-05
