train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,learning_rate
0.9421458282197275,0.5962805114296784,0.7758736985070365,0.7238095238095238,0.5977272727272728,0.5676140370942223,0.5506400409626216,0.6928095969570623,0.0001
0.5874281478962756,0.7683068578070515,0.6233444558249579,0.7111111111111111,0.6211116025357512,0.6717588848314531,0.6047325240910933,0.7218940636344297,0.0001
0.4425421834038192,0.8345602479659047,0.7781150131944626,0.7428571428571429,0.6372295889198311,0.657820911861056,0.6259268981515096,0.744732734448284,0.0001
0.30060528838232664,0.8969391708640062,0.94544685341063,0.7714285714285715,0.6851954330057565,0.6513393623017915,0.6622354007083436,0.7597091319848918,0.0001
0.22957728776022798,0.9170864006199148,0.7776169962353177,0.7714285714285715,0.7120694798597421,0.7089026678321583,0.7039252849357379,0.7771525996264672,0.0001
0.1611590760246537,0.9387834172801239,0.9493788881434335,0.7714285714285715,0.6675803144224197,0.6622394322857524,0.6628544880236743,0.7682767644767718,0.0001
0.09721383576543698,0.9655172413793104,1.0112768559228806,0.7682539682539683,0.6750566893424036,0.6712273335021662,0.6712865990130202,0.7636823792207149,5e-05
0.04939720213033637,0.9810151104223169,1.0999418177774973,0.7714285714285715,0.6945850202429149,0.6446731857951621,0.6631508408871468,0.7569097268686552,5e-05
0.037315897125042095,0.9903138318481208,0.970717091787429,0.7746031746031746,0.6801251670919918,0.6745114057517557,0.6732704137982699,0.7695384065275097,5e-05
0.030083816730897585,0.9910887253002713,1.035987350865016,0.7714285714285715,0.6974468624577156,0.6431417079898809,0.6645802756913869,0.7593603926937259,5e-05
