train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,learning_rate
1.003209088486971,0.5385509492444789,0.8437252283096314,0.6285714285714286,0.500152413720253,0.4989850964117562,0.41939873283156864,0.6003640730008889,0.001
0.9922526577839044,0.5691592406044169,0.9222497432950943,0.5746031746031746,0.4174603174603175,0.49413196742069615,0.40290794611541525,0.570862027319163,0.001
0.9845224093762722,0.5730337078651685,0.8664942832220168,0.5936507936507937,0.4682040998217469,0.48848968076966015,0.42892743730457955,0.5984348225925037,0.001
0.9553242707982261,0.6009298721425804,0.8174107956507849,0.6349206349206349,0.4625625946380663,0.45641633104319673,0.4369303761848027,0.621381687511548,0.001
0.9560169490073736,0.6055792328554823,0.9301458786404322,0.6571428571428571,0.48634470336597996,0.4584515844423204,0.4649760817569037,0.6319016038683357,0.001
0.9466504454843668,0.6017047655947307,0.98031240455688,0.5174603174603175,0.48842245310762294,0.47574551980110397,0.42752010555238035,0.560091592522618,0.001
0.9665660518216145,0.6013173188686556,0.9417869195105537,0.546031746031746,0.47774419715774624,0.4916947827910257,0.4604290704085292,0.5883347655219021,0.001
0.9494841626705656,0.5955056179775281,0.901506619604807,0.6095238095238096,0.5057114237837129,0.5233645674201516,0.4794831320193908,0.6317359623180325,0.001
0.92775088024435,0.621077101898489,0.9410907593984452,0.5746031746031746,0.5052437641723356,0.5268321773725787,0.47500094108789764,0.6082931175105089,0.0005
0.9188036365085958,0.625726462611391,0.860761477076818,0.6666666666666666,0.5572291149710504,0.5577857837250528,0.5091024474477965,0.6696538684200553,0.0005
0.912979179507584,0.6365749709414955,0.8067886723412407,0.6571428571428571,0.5040816326530612,0.5070068377325198,0.4975866703239859,0.6635482175370125,0.0005
0.9057312432484588,0.6299883765982177,0.8789021285753401,0.6126984126984127,0.5138822097690715,0.5392397617822219,0.5011904761904762,0.6438107835726884,0.0005
0.9044842360694941,0.6261139093374661,0.9408984362132966,0.5523809523809524,0.5174828257183065,0.5162387297230323,0.4683810907493841,0.5959859037860432,0.0005
0.9121495473528037,0.6369624176675707,0.8108080281151666,0.653968253968254,0.5194920216659348,0.5066261467702539,0.47056708212920867,0.6394122717181836,0.0005
0.9016405293896235,0.6373498643936458,0.8321946333325099,0.6634920634920635,0.5692356891589383,0.5752414718961296,0.5288199762232527,0.6768812615077283,0.0005
0.9045433227242725,0.6315381635025185,0.8155894953107077,0.6730158730158731,0.5647792892299345,0.5671053599000073,0.5368325324936202,0.6867640308112327,0.00025
0.8921877632580816,0.6408368849283224,0.7988502265915038,0.6857142857142857,0.5639968867894904,0.5752049822044675,0.5372672817153838,0.69111386842009,0.00025
0.8883883364668931,0.6350251840371949,0.8167989276704334,0.6857142857142857,0.5740211365211366,0.5876365299937096,0.548137677924912,0.6968408896068471,0.00025
0.8767480913034386,0.651685393258427,0.7938689551656208,0.692063492063492,0.5719347856444631,0.5669583118888317,0.5365795440983411,0.6927568353991556,0.00025
0.8759868709397196,0.6474234792716002,0.8226401484201825,0.6730158730158731,0.5472411100318078,0.553142334305484,0.5309173185147057,0.6870682799855697,0.00025
0.8740309897387318,0.6501356063541263,0.7597384729082622,0.6825396825396826,0.5890961857379767,0.5414030014132948,0.5188376713129189,0.6824101562432539,0.00025
0.890567189452723,0.6450987989151492,0.8020526185868279,0.6666666666666666,0.5500028958647052,0.5744512249916265,0.5319784217442742,0.6793629910823912,0.00025
0.8839650400522743,0.6454862456412244,0.7822919773677038,0.6634920634920635,0.5248718899958077,0.5282176964112115,0.5014102564102564,0.6633028083028083,0.00025
0.874833899567821,0.6419992251065478,0.7867816062200637,0.6825396825396826,0.5718759263750774,0.5677975747970602,0.5329931972789116,0.6888402980239715,0.00025
0.8737902738058674,0.649360712901976,0.7993442276167491,0.6857142857142857,0.5747173972980425,0.5827719639351137,0.5507853832924942,0.6999086822248137,0.00025
0.8625324363858142,0.6512979465323518,0.7843913721659826,0.6984126984126984,0.5799279522683777,0.5875384979862591,0.5475473671773775,0.702524799373035,0.000125
0.865062858627915,0.6582719876017048,0.7823528789338612,0.6888888888888889,0.5640307072299976,0.5744147352999643,0.5411085337658652,0.6940064839163432,0.000125
0.8571672859648225,0.6481983727237505,0.7895595830584329,0.6793650793650794,0.5646548804443542,0.5694886269255801,0.5348224513172967,0.6894398079965091,0.000125
0.8629422950818528,0.6617590081363812,0.7916524747061351,0.707936507936508,0.6008547008547008,0.5957976946139582,0.5597940063049113,0.7080070619831279,0.000125
0.8618992144910923,0.6574970941495545,0.7886682406304375,0.6825396825396826,0.5650121275121275,0.5826614056156001,0.5417274215146556,0.692750535516493,6.25e-05
0.8512133710239341,0.6648585819449826,0.749074209304083,0.6984126984126984,0.5755749716848114,0.5875384979862591,0.5478174625285562,0.7012817599616508,6.25e-05
