,precision,recall,f1-score,support
No Pain,0.7946058091286307,0.7848360655737705,0.7896907216494845,488.0
Moderate Pain,0.4474708171206226,0.5203619909502263,0.4811715481171548,221.0
Severe Pain,0.5875706214689266,0.5024154589371981,0.5416666666666666,207.0
accuracy,0.6572052401746725,0.6572052401746725,0.6572052401746725,0.6572052401746725
macro avg,0.60988241590606,0.602537838487065,0.6041763121444353,916.0
weighted avg,0.664067471705783,0.6572052401746725,0.6592063147367245,916.0
