label,class_name,precision,recall,f1,support
0,No Pain,0.7946058091286307,0.7848360655737705,0.7896907216494845,488
1,Moderate Pain,0.4474708171206226,0.5203619909502263,0.4811715481171548,221
2,Severe Pain,0.5875706214689266,0.5024154589371981,0.5416666666666666,207
