,precision,recall,f1-score,support
Pain Score 0,0.6758893280632411,0.7008196721311475,0.6881287726358148,488.0
Pain Score 1,0.5,0.3438914027149321,0.4075067024128686,221.0
Pain Score 2,0.3372093023255814,0.42028985507246375,0.3741935483870968,207.0
accuracy,0.5513100436681223,0.5513100436681223,0.5513100436681223,0.5513100436681223
macro avg,0.5043662101296075,0.4883336433061811,0.48994300781192673,916.0
weighted avg,0.5569173773758264,0.5513100436681223,0.549480225759444,916.0
